
 PRINT S    NODAL SOLUTION PER NODE
    NODE       SX             SY             SZ             SXY            SYZ            SXZ     
     260  -0.122888E-001  0.189633      -0.122998E-001 -0.416629E-002  0.124373       0.658576E-002
     261  -0.382898E-002  0.433943      -0.272549E-001 -0.446746E-002 -0.106931       0.356849E-002
     262  -0.194988E-001  0.862860       0.467189E-001 -0.179404E-001  0.299902       0.720974E-003
     263  -0.205654E-002  0.543060E-002 -0.164993E-001  0.547052E-002 -0.400303E-002  0.318640E-003
     264  -0.234500E-002  0.323616      -0.994865E-002 -0.777381E-002  0.134044E-001  0.995496E-003
     265   0.175021E-002  0.914076       0.213355E-001 -0.428919E-002  0.707117E-002 -0.166419E-003
     266   0.181832E-001   1.04631       0.325874E-001  0.127579E-001 -0.240302E-001  0.139507E-002
     267  -0.765318E-002  0.498282      -0.420033E-001  0.127262E-001 -0.308952E-001  0.320772E-003
     268  -0.902148E-004  0.616425      -0.330301E-001 -0.112043E-001  0.152209E-001  0.160186E-002
     269   0.346540E-002   1.38800       0.213658E-001 -0.123200E-001  0.195410E-001  0.418339E-004
     270   0.410623E-002   1.69837       0.159732E-001  0.340510E-002  0.341879E-002 -0.303291E-003
     271   0.179666E-002   1.64529       0.240006E-003  0.387705E-002 -0.276501E-002 -0.477898E-003
     272  -0.129871E-003   1.52308      -0.205942E-002  0.235016E-002 -0.298346E-002  0.156091E-002
     273  -0.207835E-002   1.48348       0.168501E-001  0.362236E-002  0.222538E-001 -0.245404E-002
     274   0.386290E-004   1.60263      -0.387417E-002  0.251397E-002  0.254804E-002 -0.236183E-004
     275   0.389923E-002   1.69717       0.945486E-002  0.117621E-002  0.130278E-002  0.394254E-003
     276   0.670911E-002   1.54810       0.273564E-001  0.209942E-003 -0.162305E-001 -0.423734E-003
     277  -0.254338E-002  0.871329      -0.120157E-001 -0.197194E-001 -0.251415E-001 -0.365812E-003
     278  -0.161812E-002  0.393379      -0.536875E-001  0.919659E-002  0.931761E-002 -0.245169E-002
     279   0.329455E-002  0.905080       0.151912E-001  0.200750E-001  0.326496E-001  0.300318E-003
     280   0.118652E-001   1.05451       0.348729E-001 -0.873593E-002 -0.312812E-003 -0.741507E-003
     281  -0.105859E-002  0.522838      -0.116393E-002 -0.710600E-002 -0.157330E-001  0.818893E-003
     282  -0.136509E-002  0.733225E-001 -0.109349E-001 -0.489043E-002 -0.403177E-001 -0.535826E-003
     283  -0.103776        1.20389       0.369214       0.516721E-001  0.348058       0.261240E-001
     284  -0.190586E-001  0.680173      -0.416471E-001 -0.876124E-002 -0.444599E-002 -0.415563E-002
     285  -0.534742E-002 -0.745885E-002 -0.127595E-001  0.838584E-002  0.131979E-002 -0.432833E-003
     286  -0.385160E-001  0.515178       0.160687      -0.450411E-002 -0.393348       0.164824E-001
     287  -0.649022E-001   1.19255       0.141904      -0.294345E-001  0.155972       0.960664E-001
     288  -0.128407E-001   1.46345       0.100117       0.156286E-001 -0.178927      -0.916540E-003
     289  -0.499725E-003 -0.135657E-002 -0.494548E-002 -0.364869E-005  0.207376E-002 -0.763072E-003
     290  -0.139589E-001  0.942292E-001  0.998362E-002 -0.201580E-002 -0.173172      -0.222191E-002
